Filename  Score  S*cd_c  Dc  L/D_c  LDc  Cm  Cmc  CL_max  CLs
ls421mod   2.90 0.1432    1  30.33    1 -0.3981    9 1.57    9 
ah93w174   2.90 0.1296    2  29.90    1 -0.4793    8 1.52    8 
davis_corrected   2.90 0.1013    4  34.36    2 -0.2420   10 1.30    3 
mb253515sm   2.85 0.0991    4  40.22    3 -0.4207    9 1.11    1 
e552   2.85 0.1211    2  33.36    2 -0.5517    7 1.44    6 
naca643618   2.85 0.1185    2  39.90    3 -0.7309    3 1.39    5 
fx61140   2.85 0.1054    3  39.73    3 -0.5863    6 1.31    3 
dfvlrr4   2.85 0.1134    3  32.61    2 -0.5649    6 1.39    5 
marske3   2.85 0.1091    3  33.87    2 -0.0943   10 1.35    4 
e583   2.80 0.1305    2  34.73    2 -0.5717    6 1.41    6 
august160   2.80 0.1159    3  40.90    3 -0.3789    9 1.20    2 
l7769   2.80 0.1306    2  26.96    1 -0.2459   10 1.46    7 
naca642415   2.75 0.1035    4  37.05    2 -0.5238    7 1.29    3 
goe777   2.75 0.1339    1  33.81    2 -0.3470   10 1.43    6 
sc20614   2.70 0.1111    3  34.74    2 -0.5249    7 1.34    4 
ls417   2.70 0.1463    1  28.99    1 -0.5975    5 1.55    9 
fx61168   2.70 0.1230    2  36.30    2 -0.6400    4 1.43    6 
