airfoil    clmax    cd0   cdc   clc   cm   m0   alpha0   alphaM
e678 1.483700 0.025380 0.016270 0.760000 -0.140500 0.110073 -4.904526 9.500000
e682 1.196300 0.021740 0.022810 0.721000 -0.101900 0.133089 -3.417432 7.500000
e694 1.427600 0.032740 0.032110 0.351900 -0.077100 0.075047 -2.689039 17.500000
e715 1.299800 0.016260 0.017830 0.464200 -0.045200 0.111992 -2.144951 10.000000
e748 1.824300 0.020080 0.019250 0.861300 -0.145200 0.095479 -7.020852 14.500000
e793 1.633100 0.013120 0.013850 0.745900 -0.112500 0.094348 -5.905806 13.500000
e817 1.062000 0.018460 0.019890 0.428000 -0.092200 0.117274 -1.649583 7.500000
e818 1.016500 0.016300 0.017480 0.430900 -0.089600 0.126350 -1.410368 7.500000
e837 0.940300 0.015460 0.015550 0.215000 0.000500 0.085855 -0.504217 12.500000
e838 0.917900 0.019400 0.019890 0.203900 0.000100 0.076569 -0.662966 14.000000
e853 1.221400 0.012010 0.012350 0.666200 -0.114700 0.088064 -5.564953 10.500000
e854 1.267900 0.012000 0.012900 0.693300 -0.114500 0.073288 -7.460003 14.000000
e855 1.447100 0.012580 0.014620 0.736400 -0.119800 0.101880 -5.228112 10.500000
e856 1.613100 0.013840 0.016490 0.768000 -0.121200 0.097083 -5.910776 12.500000
e857 1.626500 0.015510 0.018150 0.785600 -0.119500 0.087394 -6.989201 14.000000
e858 1.428700 0.017590 0.019950 0.754000 -0.104800 0.091400 -6.249453 10.500000
e862 0.642900 0.028380 0.028860 0.209500 -0.001100 0.104412 -0.006479 6.500000
ea61009 0.864600 0.009720 0.009380 0.220000 0.008300 0.110010 0.000173 9.000000
ea61012 1.007800 0.013370 0.011960 0.199500 0.009300 0.099785 0.000694 11.000000
ea81006 0.818100 0.008130 0.011790 0.273300 -0.009300 0.058955 -2.635739 18.000000
ec863914 1.409300 0.025150 0.021570 0.663100 -0.126100 0.103712 -4.393667 11.500000
eh1070 0.765900 0.007910 0.008460 0.322800 -0.011100 0.108378 -0.978470 7.000000
eh1090 0.950200 0.009350 0.009490 0.361100 -0.017100 0.107800 -1.349722 9.500000
eh1590 1.007800 0.009530 0.009970 0.382800 -0.017300 0.104128 -1.676245 10.500000
eh2012 1.165200 0.011430 0.012310 0.484500 -0.029300 0.105872 -2.576281 10.500000
eh2510 1.002600 0.002330 0.002450 0.440300 -0.020400 0.100673 -2.373578 9.500000
eh3012 1.191100 0.011600 0.013100 0.534400 -0.031100 0.108492 -2.925724 10.000000
eiffel371 1.254100 0.012080 0.013250 0.486200 -0.028900 0.076824 -4.328731 14.500000
eiffel385 1.445200 0.014450 0.013970 1.021100 -0.105900 0.055650 -16.348607 16.000000
eiffel430 1.477600 0.020330 0.018810 0.671600 -0.054900 0.084056 -5.989888 14.000000
esa40 1.353900 0.011810 0.012580 0.238400 0.043300 0.102677 -0.321846 14.000000
falcon 1.240500 0.010480 0.012840 0.491300 -0.039600 0.107400 -2.574488 11.500000
fauvel 1.269600 0.013200 0.015940 0.413600 0.009800 0.108443 -1.813990 12.000000
fg1 1.283900 0.024650 0.009570 0.711100 -0.088500 0.096121 -5.397934 13.000000
fx05188 1.336400 0.021770 0.024520 0.500500 -0.073600 0.065456 -5.646310 17.500000
fx05191 1.280000 0.023820 0.022700 0.387900 -0.062700 0.065847 -3.890896 18.000000
fx057816 1.295200 0.034000 0.050300 0.250700 -0.057700 0.074110 -1.382794 13.000000
fx05h126 1.319500 0.028350 0.025210 0.496200 -0.054200 0.108555 -2.570974 10.000000
fx38153 1.157600 0.027750 0.025210 0.166400 0.002400 0.080881 -0.057341 16.500000
fx60100 1.442800 0.014960 0.010310 0.717600 -0.115100 0.099192 -5.234432 11.500000
fx601001 1.370300 0.014080 0.011360 0.718300 -0.117000 0.099568 -5.214165 10.500000
