Filename  Powerreq Sreq Wingspan
goe677 366.20 3.6534 2.7031 
goe679 413.86 3.1461 2.5084 
goe681 411.34 3.1545 2.5118 
goe682 373.07 3.8308 2.7680 
goe683 357.84 3.8848 2.7874 
goe685 411.06 3.1553 2.5121 
goe692 417.72 3.1334 2.5034 
goe693 352.51 4.0148 2.8336 
goe701 418.76 3.1468 2.5087 
goe702 387.66 3.4961 2.6443 
goe703 331.10 4.4343 2.9780 
goe704 332.89 4.3171 2.9384 
goe723 411.60 3.2241 2.5393 
goe735 351.16 4.0943 2.8616 
goe738 386.54 3.3906 2.6041 
goe741 404.82 3.2928 2.5663 
goe758 372.88 3.7580 2.7415 
goe766 353.85 3.8318 2.7683 
goe767 346.54 3.9683 2.8172 
goe769 408.70 3.3406 2.5848 
goe770 382.68 3.5224 2.6542 
goe775 347.67 4.0367 2.8414 
goe776 346.15 4.1427 2.8784 
goe777 350.92 4.2453 2.9139 
goe796 371.73 3.6812 2.7134 
goe797 419.87 3.1265 2.5006 
gs1 411.03 3.1553 2.5121 
hq010 280.81 6.3513 3.5641 
hq1012 317.97 4.6811 3.0598 
hq1511 315.83 4.7204 3.0726 
hq1512 326.24 4.4597 2.9865 
hq2012 338.97 4.1611 2.8848 
hq2511 349.27 3.9482 2.8100 
hq2512 337.12 4.2034 2.8994 
hq300gd2 373.62 3.7232 2.7288 
hq3011 344.00 4.1796 2.8912 
hq3012 360.46 3.8235 2.7653 
hq3013 376.93 3.5295 2.6569 
hq3014 380.58 3.4831 2.6394 
hq3015 391.84 3.3462 2.5870 
hq3512 361.94 3.8656 2.7805 
hq3513 380.06 3.5844 2.6775 
hq3514 386.37 3.4805 2.6384 
hq3518 410.23 3.1581 2.5132 
hsnlf213 326.27 5.0624 3.1820 
j5012 307.35 5.0789 3.1871 
joukowsk 305.84 4.9799 3.1559 
k1 331.96 4.4810 2.9937 
k2 324.61 4.8392 3.1110 
k3 400.08 3.4676 2.6335 
k3311 370.39 3.6967 2.7191 
k3311sm 375.79 3.6010 2.6836 
kc135a 359.93 3.8059 2.7589 
kc135b 326.15 4.4512 2.9837 
kc135c 313.42 5.0424 3.1757 
l188root 353.35 3.9449 2.8089 
l188tip 362.19 3.8121 2.7612 
l7769 351.16 4.2999 2.9325 
la2573a 350.90 4.2647 2.9205 
lds2 360.00 3.7460 2.7372 
ls013 302.21 5.7039 3.3775 
ls413 377.40 3.5590 2.6680 
ls413mod 382.21 3.4371 2.6219 
ls417 410.48 3.2042 2.5315 
ls417mod 395.60 3.3185 2.5762 
ls421 413.44 3.2936 2.5666 
ls421mod 413.44 3.1475 2.5090 
lwk80120k25 298.70 6.1808 3.5159 
lwk80150k25 322.89 5.4451 3.3000 
