Filename  Score  S*cd_c  Dc  L/D_c  LDc  Cm  Cmc  WF  WFs
goe624   4.70 0.0867    6  56.48    7 -0.6427    4 1.73    1 
e793   4.70 0.0888    6  53.86    7 -0.7216    3 1.70    1 
goe420   4.65 0.0963    5  47.02    5 -0.6800    4 1.52    4 
goe223   4.65 0.1025    4  54.95    7 -0.9387    1 1.64    2 
e326   4.65 0.1121    3  31.77    2 -0.1145   10 1.28    9 
sg6040   4.60 0.1012    4  40.70    3 -0.5872    6 1.41    7 
e541   4.60 0.1690    1  34.15    2 -0.7807    2 1.17   10 
e336   4.60 0.1008    4  38.70    3 -0.2027   10 1.39    7 
ah79k132   4.60 0.1345    1  35.02    2 -0.6717    4 1.23   10 
naca642415   4.50 0.1035    4  37.05    2 -0.5238    7 1.34    8 
ls413mod   4.50 0.0888    6  48.48    5 -0.5155    7 1.58    3 
goe190   4.50 0.0949    5  55.91    7 -0.8812    1 1.69    1 
e638   4.50 0.0905    6  47.39    5 -0.3325   10 1.56    3 
e582   4.50 0.1136    3  41.26    4 -0.6557    4 1.42    6 
e559   4.50 0.0926    5  53.47    7 -0.8216    2 1.71    1 
e553   4.50 0.1046    3  41.58    4 -0.6795    4 1.46    6 
davis_corrected   4.50 0.1013    4  34.36    2 -0.2420   10 1.36    8 
mh84   4.45 0.0853    7  52.17    6 -0.4346    9 1.83    1 
ah93156   4.45 0.1315    2  37.01    2 -0.6958    3 1.28    9 
e678   4.45 0.1025    4  46.71    5 -0.8848    1 1.55    4 
mue139   4.40 0.0933    5  48.80    6 -0.4600    8 1.66    2 
goe679   4.40 0.0964    5  52.58    6 -0.7088    3 1.62    2 
e551   4.40 0.1099    3  37.73    3 -0.6232    5 1.40    7 
naca747a315   4.35 0.1317    2  28.99    1 -0.2623   10 1.21   10 
fx61147   4.35 0.1029    4  44.59    4 -0.6694    4 1.50    5 
usa33   4.30 0.1159    3  35.50    2 -0.3220   10 1.35    8 
s4158   4.30 0.1143    3  34.69    2 -0.6340    4 1.36    8 
marske2   4.30 0.1088    3  34.43    2 -0.1203   10 1.38    8 
goe645   4.30 0.0954    5  48.59    5 -0.5657    6 1.60    3 
goe512   4.30 0.0936    5  46.71    5 -0.4343    9 1.59    3 
e561   4.30 0.0978    4  55.46    7 -0.9203    1 1.85    1 
usa40b   4.25 0.0898    6  50.11    6 -0.5520    6 1.82    1 
mh83   4.25 0.0898    6  49.35    6 -0.4121    9 1.86    1 
goe769   4.25 0.0883    6  50.59    6 -0.4167    9 1.69    1 
e682   4.25 0.1426    1  31.61    2 -0.6370    4 1.25    9 
ah94156   4.25 0.1359    1  35.08    2 -0.6661    4 1.28    9 
